event_id,timestamp_start,timestamp_end,event_type,road_id,location_description,severity,duration_minutes,affected_lanes,response_team_dispatched,response_time_min,casualties,description,cause,weather_condition
EVT-00053,2024-03-27 06:51:00,2024-03-27 12:34:00,Konvoi,RD-0111,Jl. Gajah Mada - Mangga Dua,Critical,343,3,1,42,0,Proyek perbaikan jalan,Kendaraan mogok di jalan,Berawan
EVT-00054,2024-03-06 02:07:00,2024-03-06 05:14:00,Pohon Tumbang,RD-0113,Jl. Satrio - Mega Kuningan,Critical,187,4,1,34,0,Kecelakaan beruntun,Proyek perbaikan jalan,Hujan Lebat
EVT-00055,2024-01-04 06:05:00,2024-01-04 09:29:00,Konvoi,RD-0007,Jl. MT Haryono - Cawang,Minor,204,1,0,0,0,Insiden struktur jalan,Kecelakaan tabrakan belakang,Berawan
EVT-00056,2024-02-01 03:31:00,2024-02-01 13:08:00,Banjir,RD-0149,Jl. Thamrin - Monas,Major,577,4,1,5,0,Proyek perbaikan jalan,Perbaikan saluran air,Hujan Sedang
EVT-00057,2024-03-20 21:50:00,2024-03-21 01:33:00,Protes/Unjuk Rasa,RD-0088,Jl. Jend. Gatot Subroto - Slipi,Minor,223,2,1,18,0,Kendaraan mogok di jalan,Proyek perbaikan jalan,Hujan Ringan
EVT-00058,2024-02-08 23:59:00,2024-02-09 02:10:00,Kemacetan Parah,RD-0189,Jl. Rasuna Said - Setiabudi,Moderate,131,2,0,0,0,Insiden struktur jalan,Bahan berbahaya tumpah,Hujan Sedang
EVT-00059,2024-02-13 15:53:00,2024-02-13 22:21:00,Banjir,RD-0107,Jl. Rasuna Said - Setiabudi,Major,388,2,1,10,0,Pemasangan marka jalan,Kendaraan terguling,Hujan Ringan
EVT-00060,2024-02-23 08:15:00,2024-02-23 09:35:00,Kendaraan Mogok,RD-0009,Jl. Diponegoro - Cikini,Minor,80,4,0,0,0,Kendaraan terguling,Kecelakaan tunggal,Hujan Ringan
EVT-00061,2024-03-29 16:00:00,2024-04-01 11:44:00,Perbaikan Jalan,RD-0094,Jl. Thamrin - Monas,Moderate,4064,3,1,5,0,Pemasangan marka jalan,Konvoi kendaraan resmi,Berawan
EVT-00062,2024-03-28 05:30:00,2024-03-28 10:48:00,Jalan Ditutup,RD-0080,Jl. KS Tubun - Slipi,Major,318,1,1,37,0,Bahan berbahaya tumpah,Kecelakaan beruntun,Hujan Lebat
EVT-00063,2024-03-06 13:59:00,2024-03-06 15:45:00,Kecelakaan,RD-0018,Jl. Hayam Wuruk - Harmoni,Major,106,2,1,34,0,Insiden struktur jalan,Curah hujan tinggi,Hujan Lebat
EVT-00064,2024-01-20 17:29:00,2024-01-20 18:40:00,Jalan Ditutup,RD-0047,Jl. Pemuda - Senen,Major,71,3,1,31,0,Kecelakaan tunggal,Kendaraan terguling,Hujan Lebat
EVT-00065,2024-01-10 03:55:00,2024-01-10 07:04:00,Banjir,RD-0069,Jl. Hayam Wuruk - Harmoni,Major,189,2,1,24,0,Kecelakaan beruntun,Drainase tersumbat,Hujan Ringan
EVT-00066,2024-01-03 06:23:00,2024-01-04 20:18:00,Perbaikan Jalan,RD-0141,Jl. Proklamasi - Menteng,Moderate,2275,3,1,15,0,Curah hujan tinggi,Kendaraan terguling,Hujan Ringan
EVT-00067,2024-02-04 16:42:00,2024-02-04 18:18:00,Pohon Tumbang,RD-0142,Jl. KS Tubun - Slipi,Minor,96,1,1,28,0,Drainase tersumbat,Insiden struktur jalan,Hujan Lebat
EVT-00068,2024-01-22 00:55:00,2024-01-22 02:37:00,Kendaraan Mogok,RD-0116,Jl. Casablanca - Kampung Melayu,Minor,102,3,1,17,2,Kecelakaan beruntun,Kecelakaan tunggal,Hujan Ringan
EVT-00069,2024-03-11 22:47:00,2024-03-12 01:16:00,Protes/Unjuk Rasa,RD-0166,Jl. Hayam Wuruk - Harmoni,Major,149,1,1,10,0,Kecelakaan tunggal,Kecelakaan tunggal,Cerah
EVT-00070,2024-02-14 13:44:00,2024-02-14 17:52:00,Acara Khusus,RD-0196,Jl. Hayam Wuruk - Harmoni,Critical,248,3,1,13,0,Proyek perbaikan jalan,Kendaraan terguling,Berawan
EVT-00071,2024-01-01 01:43:00,2024-01-01 03:30:00,Konvoi,RD-0148,Jl. HR Rasuna Said - Casablanca,Minor,107,1,1,11,0,Konvoi kendaraan resmi,Insiden struktur jalan,Hujan Sedang
EVT-00072,2024-02-13 08:41:00,2024-02-15 09:26:00,Perbaikan Jalan,RD-0125,Jl. KS Tubun - Slipi,Minor,2925,3,1,18,0,Kecelakaan tabrakan belakang,Bahan berbahaya tumpah,Hujan Lebat
EVT-00073,2024-02-23 03:22:00,2024-02-23 08:34:00,Jalan Ditutup,RD-0171,Jl. KS Tubun - Slipi,Major,312,4,1,17,0,Insiden struktur jalan,Kecelakaan beruntun,Hujan Sedang
EVT-00074,2024-03-07 00:58:00,2024-03-09 01:41:00,Perbaikan Jalan,RD-0112,Jl. Satrio - Mega Kuningan,Moderate,2923,4,1,41,0,Kecelakaan beruntun,Insiden struktur jalan,Hujan Lebat
EVT-00075,2024-02-18 06:36:00,2024-02-18 09:17:00,Pohon Tumbang,RD-0060,Jl. Casablanca - Kampung Melayu,Moderate,161,1,0,0,0,Jalan rusak,Perbaikan saluran air,Cerah
EVT-00076,2024-01-18 11:52:00,2024-01-20 02:25:00,Perbaikan Jalan,RD-0172,Jl. Kramat Raya - Senen,Moderate,2313,3,0,0,0,Kecelakaan tunggal,Perbaikan saluran air,Hujan Ringan
EVT-00077,2024-02-22 11:51:00,2024-02-22 14:39:00,Protes/Unjuk Rasa,RD-0071,Jl. Proklamasi - Menteng,Moderate,168,1,1,43,0,Pemasangan marka jalan,Konvoi kendaraan resmi,Hujan Lebat
EVT-00078,2024-03-13 15:28:00,2024-03-13 21:20:00,Banjir,RD-0022,Jl. Diponegoro - Cikini,Major,352,3,1,41,0,Proyek perbaikan jalan,Drainase tersumbat,Cerah
EVT-00079,2024-03-01 21:09:00,2024-03-02 07:06:00,Perbaikan Jalan,RD-0178,Jl. Sudirman - Bundaran HI,Major,597,1,1,41,0,Kendaraan terguling,Insiden struktur jalan,Berawan
EVT-00080,2024-01-07 08:40:00,2024-01-07 14:31:00,Konvoi,RD-0003,Jl. Proklamasi - Menteng,Minor,351,2,0,0,0,Jalan rusak,Perbaikan saluran air,Hujan Lebat
EVT-00081,2024-01-16 19:20:00,2024-01-17 03:17:00,Acara Khusus,RD-0141,Jl. KS Tubun - Slipi,Minor,477,3,1,34,0,Kendaraan terguling,Proyek perbaikan jalan,Cerah
EVT-00082,2024-01-02 16:17:00,2024-01-02 19:32:00,Kemacetan Parah,RD-0091,Jl. Jend. Sudirman - Semanggi,Moderate,195,2,1,39,0,Konvoi kendaraan resmi,Insiden struktur jalan,Hujan Sedang
EVT-00083,2024-03-31 07:13:00,2024-03-31 09:26:00,Kecelakaan,RD-0125,Jl. Thamrin - Monas,Moderate,133,4,1,25,0,Bahan berbahaya tumpah,Bahan berbahaya tumpah,Hujan Ringan
EVT-00084,2024-02-09 14:45:00,2024-02-09 15:12:00,Kecelakaan,RD-0015,Jl. Diponegoro - Cikini,Moderate,27,2,1,40,2,Kendaraan terguling,Konvoi kendaraan resmi,Cerah
EVT-00085,2024-02-29 06:31:00,2024-02-29 13:06:00,Banjir,RD-0147,Jl. Sudirman - Bundaran HI,Major,395,4,1,21,0,Festival jalanan,Drainase tersumbat,Hujan Lebat
EVT-00086,2024-03-06 22:05:00,2024-03-07 03:32:00,Kemacetan Parah,RD-0197,Jl. Casablanca - Kampung Melayu,Critical,327,4,1,43,0,Pemasangan marka jalan,Kendaraan terguling,Hujan Lebat
EVT-00087,2024-02-12 18:07:00,2024-02-12 19:15:00,Kecelakaan,RD-0062,Jl. Satrio - Mega Kuningan,Major,68,2,1,26,0,Kecelakaan beruntun,Kecelakaan tunggal,Hujan Lebat
EVT-00088,2024-01-21 18:29:00,2024-01-21 20:58:00,Acara Khusus,RD-0094,Jl. Jend. Gatot Subroto - Slipi,Moderate,149,1,1,35,0,Curah hujan tinggi,Kecelakaan beruntun,Hujan Sedang
EVT-00089,2024-01-28 04:47:00,2024-01-28 12:00:00,Banjir,RD-0095,Jl. Hayam Wuruk - Harmoni,Moderate,433,4,1,39,0,Bahan berbahaya tumpah,Bahan berbahaya tumpah,Hujan Ringan
EVT-00090,2024-02-17 10:02:00,2024-02-17 14:22:00,Protes/Unjuk Rasa,RD-0137,Jl. Casablanca - Kampung Melayu,Minor,260,2,1,35,0,Pemasangan marka jalan,Kecelakaan beruntun,Berawan
EVT-00091,2024-03-23 03:03:00,2024-03-23 05:36:00,Kemacetan Parah,RD-0125,Jl. Casablanca - Kampung Melayu,Moderate,153,4,1,9,0,Perbaikan saluran air,Perbaikan saluran air,Hujan Lebat
EVT-00092,2024-01-17 19:16:00,2024-01-18 01:25:00,Banjir,RD-0149,Jl. Raya Bogor - Cibubur,Moderate,369,2,1,42,0,Kendaraan terguling,Drainase tersumbat,Hujan Ringan
EVT-00093,2024-01-21 08:46:00,2024-01-21 18:45:00,Acara Khusus,RD-0063,Jl. KS Tubun - Slipi,Moderate,599,4,1,28,0,Kecelakaan beruntun,Kendaraan mogok di jalan,Hujan Lebat
EVT-00094,2024-01-11 22:51:00,2024-01-12 04:02:00,Pohon Tumbang,RD-0177,Jl. Casablanca - Kampung Melayu,Moderate,311,1,0,0,0,Festival jalanan,Kecelakaan tabrakan belakang,Hujan Ringan
EVT-00095,2024-02-06 08:04:00,2024-02-06 13:40:00,Protes/Unjuk Rasa,RD-0113,Jl. Gajah Mada - Mangga Dua,Moderate,336,1,1,25,0,Festival jalanan,Kendaraan mogok di jalan,Berawan
EVT-00096,2024-02-16 08:57:00,2024-02-16 12:41:00,Protes/Unjuk Rasa,RD-0148,Jl. Jend. Sudirman - Semanggi,Moderate,224,4,1,13,0,Bahan berbahaya tumpah,Kecelakaan tabrakan belakang,Cerah
EVT-00097,2024-02-05 08:20:00,2024-02-06 20:23:00,Perbaikan Jalan,RD-0012,Jl. Kramat Raya - Senen,Minor,2163,3,1,39,0,Bahan berbahaya tumpah,Proyek perbaikan jalan,Cerah
EVT-00098,2024-03-05 11:25:00,2024-03-06 19:14:00,Perbaikan Jalan,RD-0173,Jl. Gatot Subroto - Kuningan,Major,1909,2,1,26,0,Perbaikan saluran air,Drainase tersumbat,Hujan Sedang
EVT-00099,2024-02-12 04:28:00,2024-02-12 05:17:00,Kemacetan Parah,RD-0026,Jl. Casablanca - Kampung Melayu,Minor,49,4,0,0,0,Kendaraan mogok di jalan,Kecelakaan tabrakan belakang,Hujan Ringan
EVT-00100,2024-01-21 10:48:00,2024-01-21 19:01:00,Acara Khusus,RD-0058,Jl. Raden Saleh - Salemba,Minor,493,4,1,16,0,Kecelakaan tabrakan belakang,Perbaikan saluran air,Cerah
EVT-00101,2024-03-30 07:31:00,2024-03-30 12:05:00,Jalan Ditutup,RD-0070,Jl. KS Tubun - Slipi,Minor,274,3,1,15,0,Drainase tersumbat,Kecelakaan tunggal,Berawan
EVT-00102,2024-01-07 10:34:00,2024-01-07 15:39:00,Konvoi,RD-0095,Jl. Asia Afrika - Gelora Bung Karno,Moderate,305,1,1,17,0,Proyek perbaikan jalan,Kecelakaan tunggal,Cerah
EVT-00103,2024-01-10 05:32:00,2024-01-10 07:56:00,Kemacetan Parah,RD-0136,Jl. Raya Bogor - Cibubur,Critical,144,4,1,31,0,Kendaraan mogok di jalan,Konvoi kendaraan resmi,Hujan Lebat
EVT-00104,2024-02-15 12:20:00,2024-02-15 13:59:00,Kendaraan Mogok,RD-0043,Jl. HR Rasuna Said - Casablanca,Minor,99,1,1,9,0,Kecelakaan tunggal,Jalan rusak,Hujan Sedang
EVT-00105,2024-03-27 07:56:00,2024-03-27 10:45:00,Kendaraan Mogok,RD-0032,Jl. Casablanca - Kampung Melayu,Moderate,169,2,0,0,1,Perbaikan saluran air,Jalan rusak,Hujan Lebat
EVT-00106,2024-01-03 19:40:00,2024-01-04 03:22:00,Acara Khusus,RD-0139,Jl. Gatot Subroto - Kuningan,Moderate,462,1,0,0,0,Kendaraan terguling,Drainase tersumbat,Berawan
EVT-00107,2024-02-10 22:09:00,2024-02-10 23:24:00,Pohon Tumbang,RD-0031,Jl. Diponegoro - Cikini,Moderate,75,4,1,23,0,Proyek perbaikan jalan,Kecelakaan beruntun,Cerah
EVT-00108,2024-02-10 02:18:00,2024-02-10 03:32:00,Konvoi,RD-0084,Jl. Hayam Wuruk - Harmoni,Major,74,2,1,34,0,Kecelakaan beruntun,Kendaraan mogok di jalan,Cerah
EVT-00109,2024-01-22 14:49:00,2024-01-22 16:38:00,Pohon Tumbang,RD-0036,Jl. Asia Afrika - Gelora Bung Karno,Major,109,2,1,33,0,Konvoi kendaraan resmi,Kendaraan mogok di jalan,Hujan Ringan
EVT-00110,2024-03-02 10:02:00,2024-03-02 15:07:00,Pohon Tumbang,RD-0040,Jl. Raden Saleh - Salemba,Minor,305,2,1,16,0,Curah hujan tinggi,Kecelakaan tunggal,Hujan Sedang
EVT-00111,2024-01-21 08:21:00,2024-01-21 11:19:00,Kecelakaan,RD-0025,Jl. Rasuna Said - Setiabudi,Moderate,178,2,1,36,0,Festival jalanan,Konvoi kendaraan resmi,Hujan Lebat
EVT-00112,2024-03-30 01:31:00,2024-03-30 04:31:00,Kecelakaan,RD-0069,Jl. Jend. Gatot Subroto - Slipi,Major,180,2,1,40,0,Kecelakaan beruntun,Perbaikan saluran air,Berawan
EVT-00113,2024-01-13 16:46:00,2024-01-15 02:32:00,Perbaikan Jalan,RD-0056,Jl. Kramat Raya - Senen,Major,2026,3,1,29,0,Perbaikan saluran air,Proyek perbaikan jalan,Cerah
EVT-00114,2024-03-24 19:32:00,2024-03-24 20:23:00,Konvoi,RD-0148,Jl. Proklamasi - Menteng,Major,51,3,1,8,0,Bahan berbahaya tumpah,Drainase tersumbat,Berawan
EVT-00115,2024-02-21 13:29:00,2024-02-22 15:00:00,Perbaikan Jalan,RD-0105,Jl. MT Haryono - Cawang,Moderate,1531,2,0,0,0,Festival jalanan,Kecelakaan tabrakan belakang,Hujan Ringan
EVT-00116,2024-02-13 16:54:00,2024-02-13 22:35:00,Protes/Unjuk Rasa,RD-0104,Jl. Jend. Gatot Subroto - Slipi,Minor,341,3,0,0,0,Perbaikan saluran air,Kecelakaan beruntun,Hujan Lebat
EVT-00117,2024-03-01 01:24:00,2024-03-01 02:32:00,Protes/Unjuk Rasa,RD-0019,Jl. HR Rasuna Said - Casablanca,Major,68,3,1,37,0,Konvoi kendaraan resmi,Jalan rusak,Cerah
EVT-00118,2024-02-27 01:40:00,2024-02-27 06:49:00,Kemacetan Parah,RD-0003,Jl. Asia Afrika - Gelora Bung Karno,Critical,309,1,1,15,0,Perbaikan saluran air,Jalan rusak,Hujan Sedang
EVT-00119,2024-02-17 19:31:00,2024-02-17 22:30:00,Banjir,RD-0078,Jl. Sudirman - Bundaran HI,Major,179,1,1,22,0,Bahan berbahaya tumpah,Perbaikan saluran air,Hujan Lebat
EVT-00120,2024-03-03 12:25:00,2024-03-06 11:23:00,Perbaikan Jalan,RD-0092,Jl. Hayam Wuruk - Harmoni,Moderate,4258,3,1,19,0,Bahan berbahaya tumpah,Drainase tersumbat,Hujan Sedang
EVT-00121,2024-03-24 04:15:00,2024-03-24 06:49:00,Pohon Tumbang,RD-0059,Jl. Raya Bogor - Cibubur,Moderate,154,2,1,14,0,Festival jalanan,Bahan berbahaya tumpah,Cerah
EVT-00122,2024-02-19 05:56:00,2024-02-19 15:51:00,Acara Khusus,RD-0161,Jl. Raden Saleh - Salemba,Minor,595,3,1,15,0,Kecelakaan beruntun,Pemasangan marka jalan,Hujan Sedang
EVT-00123,2024-01-29 04:43:00,2024-01-29 09:04:00,Acara Khusus,RD-0031,Jl. Raden Saleh - Salemba,Major,261,1,1,10,0,Drainase tersumbat,Perbaikan saluran air,Hujan Lebat
