road_id,road_name,road_type,city,country,district,length_km,lanes,speed_limit_kmh,capacity_vehicles_per_hour,has_bus_lane,has_bike_lane,has_sidewalk,has_median,has_speed_camera,has_pedestrian_crossing,has_toll,toll_rate_local_currency,currency,has_congestion_charge,congestion_charge_amount,surface_condition,lighting_type,traffic_signal_type,road_classification,latitude_start,longitude_start,latitude_end,longitude_end,avg_daily_traffic,peak_hour_traffic,year_built,last_maintenance_date,next_scheduled_maintenance,last_resurfacing_date,has_variable_message_sign,has_intelligent_transport_system,has_emergency_callbox,connected_sensors_count,noise_level_db,annual_co2_emission_tons
RD-TOK-0040,Marunouchi Koen Dori,Highway/Expressway,Tokyo,Japan,Marunouchi,18.6,4,130,8147,0,0,1,0,1,0,1,3.0,JPY,0,0.0,Good,Solar LED,Semi-Actuated,National,35.736518,139.655335,35.746987,139.681497,9929,1042,2011,2023-02-23,2025-03-08,2023-12-27,1,1,1,6,71.7,454.0
RD-TOK-0041,Ginza Dori,Toll Road,Tokyo,Japan,Ginza,29.2,6,80,12538,0,0,0,1,0,0,1,10.0,JPY,0,0.0,Fair,Sodium Vapor,Adaptive SCOOT,Private,35.654505,139.609753,35.64225,139.601914,10804,1422,1973,2022-10-26,2024-09-05,2023-04-16,1,1,1,6,64.9,104.7
RD-TOK-0042,Shuto Expressway Line 583,Collector Road,Tokyo,Japan,Marunouchi,3.9,4,40,4703,0,0,1,1,1,1,0,0.0,JPY,0,0.0,Fair,Solar LED,Actuated,Private,35.691867,139.584265,35.693672,139.567262,12106,1416,1979,2022-02-26,2025-02-23,2022-11-25,0,1,0,2,55.6,146.8
RD-TOK-0043,Shuto Expressway Line 454,Local Street,Tokyo,Japan,Akihabara,1.8,2,20,1464,0,0,1,0,0,1,0,0.0,JPY,0,0.0,Good,Sodium Vapor,Actuated,Private,35.676142,139.672261,35.689425,139.645423,1562,217,1997,2022-10-13,2024-04-14,2022-11-18,1,0,0,0,59.9,45.2
RD-TOK-0044,Shinjuku Dori,Ring Road,Tokyo,Japan,Shinjuku,41.1,4,100,8152,0,0,1,1,0,0,1,5.0,JPY,0,0.0,Fair,Halogen,Adaptive SCOOT,National,35.746095,139.712259,35.724988,139.686933,8876,934,1991,2023-08-06,2024-06-28,2021-04-23,1,0,1,0,80.2,45.0
RD-TOK-0045,Shuto Expressway Line 709,Ring Road,Tokyo,Japan,Marunouchi,31.2,8,120,16077,0,0,1,0,0,1,1,8.0,JPY,0,0.0,Excellent,LED,Fixed Timer,Municipal,35.689908,139.712728,35.706254,139.734494,30031,3450,1989,2022-06-08,2024-10-23,2021-08-25,1,1,1,0,83.5,33.3
RD-TOK-0046,Roppongi Avenue,Local Street,Tokyo,Japan,Roppongi,1.1,1,30,797,0,1,1,0,0,1,0,0.0,JPY,0,0.0,Fair,Sodium Vapor,Fixed Timer,Private,35.604455,139.622562,35.629985,139.61292,1902,156,2007,2022-08-01,2024-05-03,2022-09-19,1,0,0,0,67.6,37.4
RD-TOK-0047,Metropolitan Expressway 240,Boulevard,Tokyo,Japan,Roppongi,7.3,4,50,5827,0,0,0,1,1,0,0,0.0,JPY,0,0.0,Poor,Solar LED,Fixed Timer,Private,35.596483,139.583426,35.60302,139.589779,5111,569,2008,2022-08-05,2024-11-04,2022-09-14,0,1,0,8,61.6,248.6
RD-TOK-0048,Ueno Avenue,Toll Road,Tokyo,Japan,Ueno,24.7,8,120,16814,0,0,1,0,0,0,1,15.0,JPY,0,0.0,Poor,Halogen,Fixed Timer,National,35.735044,139.723203,35.731418,139.710866,15269,2121,2001,2022-05-02,2025-02-03,2023-03-07,1,0,1,0,84.6,301.1
RD-TOK-0049,Shibuya Dori,Arterial Road,Tokyo,Japan,Shibuya,8.9,4,50,6254,1,0,0,0,0,1,0,0.0,JPY,0,0.0,Fair,Halogen,None,Federal,35.605572,139.649022,35.589467,139.637463,14165,1682,1977,2022-09-01,2024-07-17,2020-03-03,1,0,0,0,77.8,481.4
RD-TOK-0050,Route 118,Collector Road,Tokyo,Japan,Ikebukuro,1.3,4,60,4750,0,0,1,0,1,1,0,0.0,JPY,0,0.0,Good,Halogen,None,Private,35.661081,139.710859,35.683599,139.692217,5595,501,2009,2022-10-27,2025-01-20,2022-03-19,0,0,0,0,64.6,308.6
RD-TOK-0051,Akihabara Koen Dori,Local Street,Tokyo,Japan,Akihabara,1.0,1,30,752,0,1,0,0,1,1,0,0.0,JPY,0,0.0,Good,LED,None,Municipal,35.732978,139.617435,35.750893,139.614074,617,62,1999,2022-08-06,2024-04-13,2023-06-23,0,0,0,0,67.9,11.4
RD-TOK-0052,Shuto Expressway Line 1,Arterial Road,Tokyo,Japan,Shibuya,13.5,4,50,6224,1,0,1,1,0,0,0,0.0,JPY,0,0.0,Fair,Sodium Vapor,Actuated,Federal,35.659301,139.575435,35.663742,139.564802,5446,572,1950,2024-03-04,2024-05-11,2021-08-29,0,1,0,1,58.4,202.3
RD-TOK-0053,Metropolitan Expressway 79,Ring Road,Tokyo,Japan,Ginza,72.6,6,100,11897,0,0,0,1,1,1,0,0.0,JPY,0,0.0,Excellent,Solar LED,Adaptive SCOOT,National,35.753725,139.626236,35.743288,139.606362,10785,870,1969,2022-09-26,2025-02-22,2022-01-24,1,0,1,0,60.2,193.3
RD-TOK-0054,Metropolitan Expressway 673,Highway/Expressway,Tokyo,Japan,Ginza,25.0,8,100,16149,0,0,1,1,0,1,0,0.0,JPY,0,0.0,Poor,Sodium Vapor,None,Federal,35.684128,139.717576,35.683209,139.730954,25375,2550,2002,2023-03-02,2024-10-29,2021-04-06,1,1,1,1,62.3,206.9
RD-TOK-0055,Route 234,Highway/Expressway,Tokyo,Japan,Shinjuku,39.8,6,140,12001,0,0,1,0,0,1,0,0.0,JPY,0,0.0,Excellent,None,Actuated,State/Provincial,35.692975,139.646975,35.693433,139.674045,15067,1433,2004,2022-01-25,2024-07-24,2023-08-21,1,1,1,3,69.6,129.4
RD-TOK-0056,Ikebukuro Koen Dori,Local Street,Tokyo,Japan,Ikebukuro,2.4,1,30,568,0,0,1,0,1,1,0,0.0,JPY,0,0.0,Poor,Halogen,Adaptive SCOOT,Private,35.722764,139.680567,35.722138,139.697449,572,77,1981,2022-01-29,2024-04-21,2023-09-15,0,0,0,0,58.3,36.0
RD-TOK-0057,Asakusa Dori,Boulevard,Tokyo,Japan,Asakusa,4.3,8,50,11982,0,1,1,1,0,0,0,0.0,JPY,0,0.0,Fair,Solar LED,Actuated,State/Provincial,35.66897,139.584229,35.649258,139.573642,15473,1963,1991,2022-09-20,2024-05-15,2020-03-25,0,1,0,0,65.3,85.4
RD-TOK-0058,Akihabara Dori,Arterial Road,Tokyo,Japan,Akihabara,6.2,6,60,9616,0,0,0,1,1,1,0,0.0,JPY,0,0.0,Fair,Halogen,Adaptive SCOOT,Private,35.700769,139.645595,35.705027,139.633701,13517,1097,1999,2022-08-11,2025-02-04,2024-01-10,0,1,0,0,77.8,235.2
RD-TOK-0059,Route 16,Collector Road,Tokyo,Japan,Harajuku,1.9,4,50,4917,0,1,1,1,0,1,0,0.0,JPY,0,0.0,Good,Halogen,Semi-Actuated,Federal,35.740578,139.632924,35.761752,139.627762,4663,421,1991,2023-04-01,2024-10-13,2022-10-28,0,1,0,4,57.0,42.1
RD-TOK-0060,Roppongi Koen Dori,Arterial Road,Tokyo,Japan,Roppongi,8.5,6,70,9508,0,0,1,1,0,1,0,0.0,JPY,0,0.0,Fair,Halogen,Semi-Actuated,Municipal,35.659443,139.5719,35.637311,139.586363,20539,1782,1990,2023-06-08,2025-03-04,2021-01-17,1,1,1,4,75.7,393.9
RD-TOK-0061,Route 462,Boulevard,Tokyo,Japan,Shinjuku,7.0,8,40,11899,1,0,0,0,1,0,0,0.0,JPY,0,0.0,Excellent,Halogen,Adaptive SCOOT,Private,35.725015,139.695352,35.743127,139.696936,15041,1312,1980,2023-12-27,2024-09-10,2020-05-18,0,0,0,0,81.7,154.9
RD-TOK-0062,Metropolitan Expressway 890,Arterial Road,Tokyo,Japan,Ginza,10.6,6,50,9731,0,0,1,1,0,1,0,0.0,JPY,0,0.0,Poor,Sodium Vapor,Actuated,Municipal,35.726572,139.589586,35.745709,139.593044,7432,974,2018,2023-03-08,2024-05-26,2022-02-09,1,1,0,0,59.7,36.3
RD-TOK-0063,Metropolitan Expressway 692,Arterial Road,Tokyo,Japan,Marunouchi,7.1,4,60,6403,1,0,1,1,0,0,0,0.0,JPY,0,0.0,Good,Halogen,Semi-Actuated,Municipal,35.734371,139.646466,35.734671,139.636471,7668,639,2001,2023-08-05,2024-08-17,2021-09-11,0,0,0,0,71.6,344.3
RD-TOK-0064,Route 912,Boulevard,Tokyo,Japan,Roppongi,4.4,6,50,9164,1,1,1,1,0,0,0,0.0,JPY,0,0.0,Fair,None,Semi-Actuated,Private,35.653332,139.592319,35.675968,139.619717,11561,1410,2020,2022-12-23,2024-09-08,2020-03-11,0,1,1,1,83.2,95.7
RD-TOK-0065,Marunouchi Koen Dori,Highway/Expressway,Tokyo,Japan,Marunouchi,15.8,8,120,15921,1,0,1,1,0,1,0,0.0,JPY,0,0.0,Excellent,None,Actuated,State/Provincial,35.599806,139.674574,35.582482,139.653279,22853,2508,1957,2022-01-09,2024-11-03,2022-08-24,1,0,1,0,55.6,97.0
RD-TOK-0066,Route 181,Local Street,Tokyo,Japan,Marunouchi,2.7,2,30,1484,0,0,1,0,0,1,0,0.0,JPY,0,0.0,Poor,Solar LED,Adaptive SCOOT,Federal,35.625318,139.63215,35.6443,139.613074,1975,267,2003,2021-10-21,2024-09-01,2021-09-23,0,0,0,0,68.8,27.0
RD-TOK-0067,Shinjuku Avenue,Ring Road,Tokyo,Japan,Shinjuku,56.3,6,100,12042,0,0,1,1,1,0,0,0.0,JPY,0,0.0,Fair,None,Semi-Actuated,State/Provincial,35.751682,139.685416,35.731978,139.6694,22411,3027,2008,2023-12-05,2025-02-25,2021-11-19,1,1,1,8,82.6,136.6
RD-TOK-0068,Shibuya Koen Dori,Toll Road,Tokyo,Japan,Shibuya,36.2,4,80,8259,0,0,1,0,0,0,1,20.0,JPY,0,0.0,Fair,Halogen,Adaptive SCOOT,Private,35.679731,139.604063,35.665591,139.612259,7703,761,1961,2022-05-23,2024-06-25,2020-06-06,1,0,1,0,71.0,62.6
RD-TOK-0069,Shuto Expressway Line 302,Arterial Road,Tokyo,Japan,Akihabara,11.8,6,60,9717,1,0,1,1,0,0,0,0.0,JPY,0,0.0,Excellent,Sodium Vapor,Adaptive SCOOT,National,35.747049,139.577616,35.75856,139.593351,7609,642,1958,2021-10-13,2025-02-15,2021-09-02,0,1,0,7,78.2,420.9
RD-TOK-0070,Harajuku Koen Dori,Collector Road,Tokyo,Japan,Harajuku,4.4,4,50,4759,0,1,1,1,0,1,0,0.0,JPY,0,0.0,Good,LED,Semi-Actuated,State/Provincial,35.733619,139.579991,35.757631,139.567051,5890,874,2003,2024-03-12,2025-01-13,2021-03-09,0,1,1,5,69.3,378.5
RD-TOK-0071,Shibuya Avenue,Arterial Road,Tokyo,Japan,Shibuya,4.1,6,50,9710,1,0,1,1,0,0,0,0.0,JPY,0,0.0,Poor,Halogen,None,National,35.689501,139.671715,35.70159,139.686907,18720,2396,2002,2023-09-13,2024-05-16,2023-11-09,0,0,0,0,76.0,60.7
RD-TOK-0072,Metropolitan Expressway 71,Arterial Road,Tokyo,Japan,Shinjuku,11.4,6,70,9496,1,0,1,1,1,1,0,0.0,JPY,0,0.0,Good,Halogen,Fixed Timer,State/Provincial,35.652946,139.60225,35.653644,139.593392,24195,3144,2003,2022-08-30,2025-03-15,2023-08-15,0,0,0,0,62.6,34.7
RD-LON-0073,Lambeth Street,Toll Road,London,United Kingdom,Lambeth,34.6,4,80,8294,0,0,0,1,0,1,1,3.0,GBP,0,0.0,Excellent,Halogen,None,Federal,51.518,-0.118383,51.514343,-0.148033,4713,674,1967,2023-06-28,2024-08-06,2023-10-15,1,1,1,7,82.0,21.4
RD-LON-0074,South Circular Road,Collector Road,London,United Kingdom,Islington,5.5,2,40,2443,0,1,1,0,1,1,0,0.0,GBP,0,0.0,Fair,Sodium Vapor,None,Federal,51.575946,-0.078929,51.587113,-0.06794,1979,246,1977,2023-06-30,2025-01-03,2022-07-14,0,1,0,8,75.2,22.5
RD-LON-0075,Westminster High Road,Toll Road,London,United Kingdom,Westminster,57.2,8,80,16740,0,0,0,0,1,1,1,20.0,GBP,0,0.0,Excellent,None,Actuated,Municipal,51.533751,-0.081326,51.538379,-0.05405,14413,1598,1955,2022-01-23,2025-01-31,2020-11-22,1,0,1,0,79.4,333.2
RD-LON-0076,North Circular Road,Ring Road,London,United Kingdom,Southwark,63.0,6,120,11966,0,0,1,1,0,0,1,5.0,GBP,0,0.0,Good,Sodium Vapor,Adaptive SCOOT,State/Provincial,51.537451,-0.062819,51.560307,-0.065721,9647,1134,1981,2022-02-04,2024-06-14,2021-09-19,1,0,1,0,60.8,479.9
RD-LON-0077,Islington Street,Boulevard,London,United Kingdom,Islington,5.3,8,40,11887,1,0,0,0,1,0,0,0.0,GBP,1,11.28,Fair,LED,None,Private,51.529448,-0.147065,51.524213,-0.176237,9717,1130,1990,2022-04-25,2024-04-21,2020-02-24,1,1,0,1,80.5,19.2
RD-LON-0078,Islington Lane,Boulevard,London,United Kingdom,Islington,7.3,8,60,11991,1,0,1,1,0,1,0,0.0,GBP,1,23.83,Poor,LED,None,State/Provincial,51.437633,-0.202843,51.440051,-0.209676,9169,1199,1960,2023-01-17,2024-04-16,2022-05-08,1,0,0,0,80.1,255.1
RD-LON-0079,Greenwich Street,Ring Road,London,United Kingdom,Greenwich,75.4,6,120,12017,0,0,1,1,0,1,0,0.0,GBP,0,0.0,Fair,None,None,National,51.45472,-0.073789,51.472559,-0.046554,12029,1347,1955,2022-09-29,2024-04-11,2020-04-14,1,1,1,0,76.4,360.6
